ID	Title
1292052	肖申克的救赎
1291546	霸王别姬
1295644	这个杀手不太冷
1292720	阿甘正传
1292063	美丽人生
1291561	千与千寻
1292722	泰坦尼克号
1295124	辛德勒的名单
3541415	盗梦空间
3011091	忠犬八公的故事
2131459	机器人总动员
3793023	三傻大闹宝莱坞
1291549	放牛班的春天
1292001	海上钢琴师
1292064	楚门的世界
1292213	大话西游之大圣娶亲
1889243	星际穿越
1291560	龙猫
5912992	熔炉
1291841	教父
1307914	无间道
25662329	疯狂动物城
1849031	当幸福来敲门
3319755	怦然心动
6786002	触不可及
3395373	蝙蝠侠：黑暗骑士崛起
1292208	上帝之城
4202302	借东西的小人阿莉埃蒂
5989818	萤火之森
11026735	超能陆战队
1306249	唐伯虎点秋香
3287562	神偷奶爸
1292337	无人知晓
1291579	怪兽电力公司
26752088	我不是药神
1417598	电锯惊魂
3792799	岁月神偷
1858711	玩具总动员3
1578507	谍影重重3
26325320	血战钢锯岭
1907966	疯狂原始人
1295399	七武士
1303037	喜宴
1297574	英雄本色
1292401	真爱至上
1292328	东邪西毒
1293318	萤火虫之墓
1418200	傲慢与偏见
10577869	时空恋旅人
2209573	贫民窟的百万富翁
1851857	蝙蝠侠：黑暗骑士
1300267	乱世佳人
1292365	活着
1296141	控方证人
1929463	少年派的奇幻漂流
1291552	指环王3：王者无敌
26387939	摔跤吧！爸爸
1291583	天空之城
1291858	鬼子来了
1291828	天堂电影院
1293182	十二怒汉
2129039	飞屋环游记
1299398	大话西游之月光宝盒
1308807	哈尔的移动城堡
1292000	搏击俱乐部
1293839	罗马假日
1293172	末代皇帝
20495023	寻梦环游记
1298624	闻香识女人
21937445	辩护人
21937452	素媛
1900841	窃听风暴
1291548	死亡诗社
1293350	两杆大烟枪
1292224	飞越疯人院
1291572	指环王2：双塔奇兵
1299131	教父2
1291571	指环王1：魔戒再现
1301753	狮子王
1309046	V字仇杀队
1306029	美丽心灵
1291818	饮食男女
3442220	海豚湾
1292220	情书
1296736	钢琴家
1418019	大闹天宫
1485260	本杰明·巴顿奇事
30170448	何以为家
1295038	哈利·波特与魔法石
26580232	看不见的客人
1291843	黑客帝国
1292402	西西里的美丽传说
1303021	小鞋子
1292262	美国往事
1292849	拯救大兵瑞恩
3742360	让子弹飞
1294408	音乐之声
1780330	致命魔术
1292223	七宗罪
1305487	猫鼠游戏
1308767	谍影重重2
1304102	谍影重重
1292329	牯岭街少年杀人事件
1291543	功夫
1419936	战争之王
2363506	地球上的星星
1862151	疯狂的石头
4739952	初恋这件小事
1303394	青蛇
1293181	惊魂记
1291844	终结者2：审判日
3075287	源代码
10808442	爱在午夜降临前
2222996	步履不停
1292287	新龙门客栈
26393561	小萝莉的猴神大叔
26787574	奇迹男孩
5964718	一次别离
1397546	追随
6874403	再次出发之纽约遇见你
1438652	无耻混蛋
1388216	撞车
1291568	东京物语
1428175	血钻
1293908	城市之光
1978709	黑天鹅
1304447	记忆碎片
25917973	心迷宫
1295409	纵横四海
1294240	教父3
24750126	荒蛮故事
1300992	完美的世界
1793929	达拉斯买家俱乐部
1291870	雨人
1291557	花样年华
26611804	三块广告牌
6307447	被解救的姜戈
1291822	卢旺达饭店
25980443	海边的曼彻斯特
26683290	你的名字。
10533913	头脑特工队
4848115	你看起来好像很好吃
1306861	我是山姆
1309163	恋恋笔记本
6534248	无敌破坏王
1296909	虎口脱险
1291578	冰川时代
26430107	二十二
3443389	海洋
1307315	哪吒闹海
21318488	消失的爱人
4268598	告白
1291545	大鱼
25814705	小森林 夏秋篇
1292434	一一
4917726	阳光姐妹淘
1296339	爱在黎明破晓前
26799731	请以你的名字呼唤我
1316510	射雕英雄传之东成西就
1305164	甜蜜蜜
1297052	侧耳倾听
1865703	红辣椒
2353023	驯龙高手
1297447	倩女幽魂
5322596	超脱
21360417	恐怖直播
1293359	菊次郎的夏天
1291990	爱在日落黄昏时
1291585	风之谷
25814707	小森林 冬春篇
10777687	7号房的礼物
1300299	杀人回忆
3011235	哈利·波特与死亡圣器(下)
25958717	海蒂和爷爷
1292274	幸福终点站
25807345	彗星来的那一夜
1292226	2001太空漫游
25986180	釜山行
1292270	梦之安魂曲
1300374	绿里奇迹
10437779	新世界
3592854	疯狂的麦克斯4：狂暴之路
25954475	聚焦
1294638	E.T. 外星人
1291992	末路狂花
2300586	这个男人来自地球
1291824	黑鹰坠落
1292233	发条橙
1867345	遗愿清单
1292659	变脸
1292728	勇闯夺命岛
4023638	国王的演讲
5908478	我爱你
1401118	黄金三镖客
1300117	千钧一发
1292214	非常嫌疑犯
2043546	秒速5厘米
25921812	驴得水
27191492	四个春天
1296753	卡萨布兰卡
1787291	被嫌弃的松子的一生
1291832	低俗小说
1293544	沉默的羔羊
1292343	蝴蝶效应
1292679	春光乍泄
1294639	勇敢的心
1292215	天使爱美丽
3008247	穿条纹睡衣的男孩
1292370	剪刀手爱德华
1292656	心灵捕手
2334904	禁闭岛
11525673	布达佩斯大饭店
1652587	阿凡达
2149806	入殓师
1297359	幽灵公主
1298070	加勒比海盗
1294371	摩登时代
1297192	致命ID
1418834	断背山
1291875	阳光灿烂的日子
1291999	重庆森林
1297630	第六感
6985810	狩猎
1302425	喜剧之王
3072124	玛丽和马克思
1293460	雨中曲
25773932	爆裂鼓手
1395091	未麻的部屋
10463953	模仿游戏
26628357	一个叫欧维的男人决定去死
1295865	燃情岁月
1959195	忠犬八公物语
1302827	人工智能
1307811	魔女宅急便
25724855	房间
1937946	穿越时空的少女
1293964	魂断蓝桥
1428581	天书奇谭
3011051	恐怖游轮
25895901	海街日记
1302467	黑客帝国3：矩阵革命
1292528	猜火车
26614893	完美陌生人
1291879	罗生门
1305690	阿飞正传
1760622	香水
1308857	可可西里
2213597	朗读者
4920389	头号玩家
2297265	浪潮
